user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
AH1_2nd_10:bin_000050	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp900557355	GCF_959601035.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp900557355	98.34	0.856	GCF_959601035.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp900557355	98.34	0.856	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000172175.1, s__Bacteroides intestinalis, 96.89, 96.35, 0.699; GCF_003464595.1, s__Bacteroides intestinalis_A, 95.0, 93.23, 0.625; GCF_902364365.1, s__Bacteroides sp900556215, 95.0, 92.22, 0.598; GCF_020091405.1, s__Bacteroides sp900552405, 95.0, 88.65, 0.452; GCF_028539415.1, s__Bacteroides cellulosilyticus, 95.0, 87.47, 0.417; GCA_900759525.1, s__Bacteroides sp900759525, 95.0, 86.95, 0.351; GCF_000513195.1, s__Bacteroides timonensis, 95.0, 86.79, 0.42; GCF_905207245.1, s__Bacteroides sp905207245, 95.0, 85.64, 0.364; GCA_947071285.1, s__Bacteroides sp947071285, 95.0, 85.07, 0.295; GCF_900142015.1, s__Bacteroides stercorirosoris, 95.0, 84.98, 0.313; GCF_000315485.1, s__Bacteroides oleiciplenus, 95.0, 84.6, 0.367; GCA_905215555.1, s__Bacteroides sp905215555, 95.0, 83.3, 0.271	79.05	11	N/A	N/A
AH1_2nd_10:bin_000051	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	77.28	11	0.97024	N/A
AH1_2nd_10:bin_000060	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__UBA1997;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__UBA1997;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	68.88	11	0.68878	N/A
AH1_2nd_10:bin_000069	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	68.58	11	0.97459	N/A
AH1_2nd_10:bin_000073	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__MGBC116941;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__MGBC116941;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	60.16	11	0.83254	N/A
AH1_2nd_10:bin_000084	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_025145845.1, s__Alistipes shahii, 95.0, 81.82, 0.168; GCF_025145645.1, s__Alistipes senegalensis, 95.0, 81.72, 0.152; GCF_900083545.1, s__Alistipes provencensis, 95.0, 81.66, 0.152; GCF_900541585.1, s__Alistipes sp900541585, 95.0, 81.5, 0.154	58.99	11	0.97939	N/A
AH1_2nd_10:bin_000096	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	47.81	11	0.92293	N/A
AH1_2nd_10:bin_000097	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_000969835.1, s__Parabacteroides goldsteinii, 95.0, 81.3, 0.174; GCF_014287545.1, s__Parabacteroides segnis, 95.0, 81.02, 0.179; GCF_014647375.1, s__Parabacteroides faecis, 95.0, 80.6, 0.152	52.12	11	0.9767	N/A
AH1_2nd_10:bin_000098	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__	N/A	N/A	N/A	N/A	N/A	GCF_001881565.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__Eisenbergiella tayi	90.87	0.556	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_900548905.1, s__Eisenbergiella sp900548905, 95.0, 85.47, 0.182; GCA_022845955.1, s__Eisenbergiella sp003478085, 95.0, 85.42, 0.201	47.67	11	0.99495	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
AH1_2nd_11:bin_000004	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella_A;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella_A;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	90.8	11	0.93278	N/A
AH1_2nd_11:bin_000005	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__Fusobacterium_A ulcerans	GCF_003019675.1	95.0	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__Fusobacterium_A ulcerans	98.32	0.847	GCF_003019675.1	95.0	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__Fusobacterium_A ulcerans	98.32	0.847	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_900683735.1, s__Fusobacterium_A ulcerans_A, 95.0, 90.91, 0.716; GCA_002356455.1, s__Fusobacterium_A varium_A, 95.0, 89.23, 0.668; GCF_900637705.1, s__Fusobacterium_A varium, 95.0, 87.78, 0.625; GCF_900543175.1, s__Fusobacterium_A sp900543175, 95.69, 81.51, 0.156	91.92	11	N/A	N/A
AH1_2nd_11:bin_000008	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_021202525.1, s__Akkermansia sp021202525, 95.0, 86.21, 0.55; GCF_026072915.1, s__Akkermansia biwaensis, 95.0, 85.88, 0.523; GCF_004167605.1, s__Akkermansia sp004167605, 95.0, 85.37, 0.471; GCF_023516715.1, s__Akkermansia massiliensis, 95.0, 84.5, 0.419; GCA_947624785.1, s__Akkermansia muciniphila_F, 95.0, 84.42, 0.409; GCF_018709685.1, s__Akkermansia muciniphila_E, 95.0, 84.35, 0.439; GCF_002884975.1, s__Akkermansia muciniphila_C, 95.0, 84.23, 0.432; GCF_020860705.1, s__Akkermansia sp020860705, 95.0, 84.04, 0.384; GCF_030848305.1, s__Akkermansia muciniphila_A, 95.0, 81.77, 0.317; GCF_000020225.1, s__Akkermansia muciniphila, 95.0, 81.7, 0.315; GCA_905200945.1, s__Akkermansia sp905200945, 95.0, 81.47, 0.282	92.87	11	0.98445	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
AH1_2nd_11:bin_000009	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__Scatocola;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__Scatocola;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	93.07	11	0.96119	N/A
AH1_2nd_11:bin_000028	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	72.12	11	0.95725	N/A
AH1_2nd_12:bin_000001	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii	GCF_000368045.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii	96.19	0.781	GCF_000368045.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii	96.19	0.781	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_002165305.2, s__Acinetobacter sp002165305, 95.0, 93.04, 0.727; GCF_002135205.1, s__Acinetobacter sp002135205, 95.0, 90.0, 0.632; GCF_004331175.1, s__Acinetobacter sp004331175, 95.0, 82.17, 0.151	97.91	11	N/A	N/A
AH1_2nd_12:bin_000007	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	93.96	11	0.80331	N/A
AH1_2nd_12:bin_000008	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus formosensis	GCF_018403745.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus formosensis	97.77	0.863	GCF_018403745.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus formosensis	97.77	0.863	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_002154895.1, s__Lactococcus petauri, 95.0, 92.15, 0.786; GCF_029024465.1, s__Lactococcus garvieae, 95.0, 90.56, 0.724; GCF_934191625.1, s__Lactococcus sp934191625, 95.0, 89.62, 0.723; GCF_943192955.1, s__Lactococcus muris, 95.0, 84.08, 0.284; GCF_943193185.1, s__Lactococcus ileimucosae, 95.0, 83.03, 0.291; GCF_016027715.1, s__Lactococcus garvieae_A, 95.0, 82.47, 0.296	95.51	11	N/A	N/A
AH1_2nd_12:bin_000009	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_021204515.1, s__Alistipes sp021204515, 95.0, 88.64, 0.506; GCA_934754975.1, s__Alistipes sp934754975, 95.0, 88.62, 0.536; GCF_000265365.1, s__Alistipes finegoldii, 95.0, 88.08, 0.479; GCF_902388705.1, s__Alistipes sp902388705, 95.0, 83.08, 0.29; GCF_025145285.1, s__Alistipes onderdonkii, 95.0, 83.07, 0.257; GCF_900541585.1, s__Alistipes sp900541585, 95.0, 81.51, 0.18; GCF_025145645.1, s__Alistipes senegalensis, 95.0, 81.37, 0.154; GCF_949296715.1, s__Alistipes sp949296715, 95.0, 80.58, 0.173; GCF_020026455.1, s__Alistipes sp020026455, 95.0, 80.42, 0.156; GCA_900553175.1, s__Alistipes sp900553175, 95.0, 80.23, 0.162; GCA_019119845.1, s__Alistipes merdavium, 95.0, 80.21, 0.158	94.36	11	0.99381	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
AH1_2nd_12:bin_000012	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_J;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_J;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_030688855.1, s__Helicobacter_J sp030688855, 95.0, 79.98, 0.288; GCF_002272795.1, s__Helicobacter_J sp002272795, 95.0, 79.13, 0.187	93.6	11	0.93291	N/A
AH1_2nd_12:bin_000014	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Velocimicrobium;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Velocimicrobium;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	92.35	11	0.89529	N/A
AH1_2nd_12:bin_000015	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Thomasclavelia;s__	N/A	N/A	N/A	N/A	N/A	GCF_014131695.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Thomasclavelia;s__Thomasclavelia ramosa	81.15	0.236	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Thomasclavelia;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_900102365.1, s__Thomasclavelia cocleata, 95.0, 79.9, 0.151	92.21	11	0.96189	N/A
AH1_2nd_12:bin_000018	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_900541585.1, s__Alistipes sp900541585, 95.0, 86.46, 0.356; GCF_025145845.1, s__Alistipes shahii, 95.0, 85.94, 0.324; GCF_900083545.1, s__Alistipes provencensis, 95.0, 85.8, 0.321; GCF_025145645.1, s__Alistipes senegalensis, 95.0, 85.46, 0.309; GCA_001941065.1, s__Alistipes sp001941065, 95.0, 85.43, 0.279; GCF_018362775.1, s__Alistipes montrealensis, 95.0, 85.34, 0.33; GCF_900107675.1, s__Alistipes timonensis, 95.0, 85.3, 0.292; GCA_023443765.1, s__Alistipes sp023443765, 95.0, 84.95, 0.304; GCA_949840605.1, s__Alistipes sp949840605, 95.0, 84.89, 0.258; GCF_020026455.1, s__Alistipes sp020026455, 95.0, 84.06, 0.264; GCA_019119845.1, s__Alistipes merdavium, 95.0, 83.16, 0.177; GCF_006542685.1, s__Alistipes dispar, 95.0, 83.0, 0.159; GCF_949296715.1, s__Alistipes sp949296715, 95.0, 82.9, 0.197; GCA_944321185.1, s__Alistipes sp944321185, 95.0, 82.16, 0.156; GCA_900553175.1, s__Alistipes sp900553175, 95.0, 81.95, 0.155	90.13	11	0.98091	N/A
AH1_2nd_12:bin_000019	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	90.9	11	0.86179	N/A
AH1_2nd_12:bin_000041	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Mycoplasmoides;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Mycoplasmoides;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	79.46	4	0.86201	N/A
AH1_2nd_12:bin_000044	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	GCF_000012845.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	98.91	0.864	GCF_000012845.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	98.91	0.864	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_004793765.1, s__Parabacteroides distasonis_A, 95.0, 94.06, 0.623; GCF_011038785.1, s__Parabacteroides sp011038785, 95.0, 90.25, 0.571; GCA_028689545.1, s__Parabacteroides sp028689545, 95.0, 90.05, 0.6; GCF_947855115.1, s__Parabacteroides sp947855115, 95.0, 87.83, 0.552	78.83	11	N/A	N/A
AH1_2nd_12:bin_000056	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__	N/A	N/A	N/A	N/A	N/A	GCF_009696375.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster porci	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_001304855.1, s__Enterocloster sp001304855, 95.0, 82.48, 0.169	63.24	11	0.97594	N/A
AH1_2nd_12:bin_000059	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Limenecus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Limenecus;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	62.05	11	0.94446	N/A
